secid,date,days,volatility,ticker,index_flag
107525,20130429,30,0.31282,MSFT,0
107525,20130429,60,0.232139,MSFT,0
107525,20130429,91,0.209273,MSFT,0
107525,20130429,122,0.203427,MSFT,0
107525,20130429,152,0.199626,MSFT,0
107525,20130429,182,0.209755,MSFT,0
107525,20130429,273,0.194796,MSFT,0
107525,20130429,365,0.205741,MSFT,0
107525,20130429,547,0.209616,MSFT,0
107525,20130429,730,0.224576,MSFT,0
107525,20130429,1825,0.314828,MSFT,0
107525,20130430,10,0.289121,MSFT,0
107525,20130430,14,0.287947,MSFT,0
107525,20130430,30,0.30669,MSFT,0
107525,20130430,60,0.233721,MSFT,0
107525,20130430,91,0.210712,MSFT,0
107525,20130430,122,0.203316,MSFT,0
107525,20130430,152,0.198874,MSFT,0
107525,20130430,182,0.209798,MSFT,0
107525,20130430,273,0.195357,MSFT,0
107525,20130430,365,0.206269,MSFT,0
107525,20130430,547,0.20964,MSFT,0
107525,20130430,730,0.224582,MSFT,0
107525,20130430,1825,0.314607,MSFT,0
107525,20130501,10,0.306816,MSFT,0
107525,20130501,14,0.301156,MSFT,0
107525,20130501,30,0.312169,MSFT,0
107525,20130501,60,0.234023,MSFT,0
107525,20130501,91,0.211985,MSFT,0
107525,20130501,122,0.203601,MSFT,0
107525,20130501,152,0.198705,MSFT,0
107525,20130501,182,0.21009,MSFT,0
107525,20130501,273,0.195854,MSFT,0
107525,20130501,365,0.206609,MSFT,0
107525,20130501,547,0.208871,MSFT,0
107525,20130501,730,0.224619,MSFT,0
107525,20130501,1825,0.31464,MSFT,0
107525,20130502,10,0.269255,MSFT,0
107525,20130502,14,0.291053,MSFT,0
107525,20130502,30,0.313135,MSFT,0
107525,20130502,60,0.232387,MSFT,0
107525,20130502,91,0.210129,MSFT,0
107525,20130502,122,0.204373,MSFT,0
107525,20130502,152,0.198515,MSFT,0
107525,20130502,182,0.205638,MSFT,0
107525,20130502,273,0.196169,MSFT,0
107525,20130502,365,0.206915,MSFT,0
107525,20130502,547,0.209128,MSFT,0
107525,20130502,730,0.224771,MSFT,0
107525,20130502,1825,0.31457,MSFT,0
107525,20130503,10,0.247479,MSFT,0
107525,20130503,14,0.270898,MSFT,0
107525,20130503,30,0.308865,MSFT,0
107525,20130503,60,0.23271,MSFT,0
107525,20130503,91,0.208607,MSFT,0
107525,20130503,122,0.203534,MSFT,0
107525,20130503,152,0.197919,MSFT,0
107525,20130503,182,0.206009,MSFT,0
107525,20130503,273,0.195303,MSFT,0
107525,20130503,365,0.207134,MSFT,0
107525,20130503,547,0.208677,MSFT,0
107525,20130503,730,0.224776,MSFT,0
107525,20130503,1825,0.314475,MSFT,0
107525,20130506,10,0.193651,MSFT,0
107525,20130506,14,0.237607,MSFT,0
107525,20130506,30,0.315426,MSFT,0
107525,20130506,60,0.23603,MSFT,0
107525,20130506,91,0.204505,MSFT,0
107525,20130506,122,0.193258,MSFT,0
107525,20130506,152,0.198864,MSFT,0
107525,20130506,182,0.206171,MSFT,0
107525,20130506,273,0.19535,MSFT,0
107525,20130506,365,0.205702,MSFT,0
107525,20130506,547,0.208546,MSFT,0
107525,20130506,730,0.224914,MSFT,0
107525,20130506,1825,0.314504,MSFT,0
107525,20130507,10,0.224612,MSFT,0
107525,20130507,14,0.249951,MSFT,0
107525,20130507,30,0.315802,MSFT,0
107525,20130507,60,0.23892,MSFT,0
107525,20130507,91,0.20715,MSFT,0
107525,20130507,122,0.194085,MSFT,0
107525,20130507,152,0.200334,MSFT,0
107525,20130507,182,0.206956,MSFT,0
107525,20130507,273,0.195695,MSFT,0
107525,20130507,365,0.205849,MSFT,0
107525,20130507,547,0.20821,MSFT,0
107525,20130507,730,0.224901,MSFT,0
107525,20130507,1825,0.314559,MSFT,0
107525,20130508,10,0.227242,MSFT,0
107525,20130508,14,0.206012,MSFT,0
107525,20130508,30,0.318745,MSFT,0
107525,20130508,60,0.238428,MSFT,0
107525,20130508,91,0.207996,MSFT,0
107525,20130508,122,0.194098,MSFT,0
107525,20130508,152,0.200259,MSFT,0
107525,20130508,182,0.203744,MSFT,0
107525,20130508,273,0.196051,MSFT,0
107525,20130508,365,0.206029,MSFT,0
107525,20130508,547,0.208122,MSFT,0
107525,20130508,730,0.225013,MSFT,0
107525,20130508,1825,0.314585,MSFT,0
107525,20130509,10,0.195182,MSFT,0
107525,20130509,14,0.216859,MSFT,0
107525,20130509,30,0.306593,MSFT,0
107525,20130509,60,0.237984,MSFT,0
107525,20130509,91,0.20941,MSFT,0
107525,20130509,122,0.195168,MSFT,0
107525,20130509,152,0.200199,MSFT,0
107525,20130509,182,0.203823,MSFT,0
107525,20130509,273,0.196352,MSFT,0
107525,20130509,365,0.206136,MSFT,0
107525,20130509,547,0.206118,MSFT,0
107525,20130509,730,0.225088,MSFT,0
107525,20130509,1825,0.314494,MSFT,0
107525,20130510,10,0.171553,MSFT,0
107525,20130510,14,0.213635,MSFT,0
