secid,date,cp_flag,index_flag,ticker,volume,open_interest
107525,20130412,C,0,MSFT,113965,2027761
107525,20130412,P,0,MSFT,59222,1273227
107525,20130415,,0,MSFT,82856,3220963
107525,20130415,C,0,MSFT,48269,2018852
107525,20130415,P,0,MSFT,34587,1202111
107525,20130416,,0,MSFT,189016,3212938
107525,20130416,C,0,MSFT,124023,2004108
107525,20130416,P,0,MSFT,64993,1208830
107525,20130417,,0,MSFT,224881,3273604
107525,20130417,C,0,MSFT,61486,2028693
107525,20130417,P,0,MSFT,163395,1244911
107525,20130418,,0,MSFT,322596,3256696
107525,20130418,C,0,MSFT,174923,2036640
107525,20130418,P,0,MSFT,147673,1220056
107525,20130419,,0,MSFT,383516,3333389
107525,20130419,C,0,MSFT,274469,2080362
107525,20130419,P,0,MSFT,109047,1253027
107525,20130422,,0,MSFT,399915,2522736
107525,20130422,C,0,MSFT,284806,1628937
107525,20130422,P,0,MSFT,115109,893799
107525,20130423,,0,MSFT,168392,2660313
107525,20130423,C,0,MSFT,107135,1729190
107525,20130423,P,0,MSFT,61257,931123
107525,20130424,,0,MSFT,311349,2720683
107525,20130424,C,0,MSFT,216375,1774730
107525,20130424,P,0,MSFT,94974,945953
107525,20130425,,0,MSFT,656973,2817240
107525,20130425,C,0,MSFT,443086,1848403
107525,20130425,P,0,MSFT,213887,968837
107525,20130426,,0,MSFT,138947,3108894
107525,20130426,C,0,MSFT,74309,2052087
107525,20130426,P,0,MSFT,64638,1056807
107525,20130429,,0,MSFT,197493,3016348
107525,20130429,C,0,MSFT,157528,1997165
107525,20130429,P,0,MSFT,39965,1019183
107525,20130430,,0,MSFT,266584,3106049
107525,20130430,C,0,MSFT,175087,2072032
107525,20130430,P,0,MSFT,91497,1034017
107525,20130501,,0,MSFT,323679,3195929
107525,20130501,C,0,MSFT,260542,2109660
107525,20130501,P,0,MSFT,63137,1086269
107525,20130502,,0,MSFT,98973,3267849
107525,20130502,C,0,MSFT,55285,2162709
107525,20130502,P,0,MSFT,43688,1105140
107525,20130503,,0,MSFT,170005,3278265
107525,20130503,C,0,MSFT,114513,2173611
107525,20130503,P,0,MSFT,55492,1104654
107525,20130506,,0,MSFT,154525,3273715
107525,20130506,C,0,MSFT,94334,2180278
107525,20130506,P,0,MSFT,60191,1093437
107525,20130507,,0,MSFT,126865,3328216
107525,20130507,C,0,MSFT,57755,2199797
107525,20130507,P,0,MSFT,69110,1128419
107525,20130508,,0,MSFT,145135,3386282
107525,20130508,C,0,MSFT,96853,2217767
107525,20130508,P,0,MSFT,48282,1168515
107525,20130509,,0,MSFT,141066,3442698
107525,20130509,C,0,MSFT,70790,2257978
107525,20130509,P,0,MSFT,70276,1184720
107525,20130510,,0,MSFT,140576,3485393
107525,20130510,C,0,MSFT,92197,2281894
107525,20130510,P,0,MSFT,48379,1203499
107525,20130513,,0,MSFT,2713170,3492759
107525,20130513,C,0,MSFT,2670401,2293455
107525,20130513,P,0,MSFT,42769,1199304
107525,20130514,,0,MSFT,142747,3196123
107525,20130514,C,0,MSFT,78004,1984053
107525,20130514,P,0,MSFT,64743,1212070
107525,20130515,,0,MSFT,97093,3232181
107525,20130515,C,0,MSFT,53697,1998628
107525,20130515,P,0,MSFT,43396,1233553
107525,20130516,,0,MSFT,173395,3214103
107525,20130516,C,0,MSFT,117576,1979655
107525,20130516,P,0,MSFT,55819,1234448
107525,20130517,,0,MSFT,184215,3279507
107525,20130517,C,0,MSFT,113281,2017819
107525,20130517,P,0,MSFT,70934,1261688
107525,20130520,,0,MSFT,185886,2957564
107525,20130520,C,0,MSFT,121124,1878381
107525,20130520,P,0,MSFT,64762,1079183
107525,20130521,,0,MSFT,103808,3053514
107525,20130521,C,0,MSFT,65731,1950495
107525,20130521,P,0,MSFT,38077,1103019
107525,20130522,,0,MSFT,101737,3054070
107525,20130522,C,0,MSFT,51623,1936765
107525,20130522,P,0,MSFT,50114,1117305
107525,20130523,,0,MSFT,121232,3076297
107525,20130523,C,0,MSFT,54212,1944087
107525,20130523,P,0,MSFT,67020,1132210
107525,20130524,,0,MSFT,59972,3117151
107525,20130524,C,0,MSFT,23052,1966406
107525,20130524,P,0,MSFT,36920,1150745
107525,20130528,,0,MSFT,114576,3104450
107525,20130528,C,0,MSFT,73341,1950599
107525,20130528,P,0,MSFT,41235,1153851
107525,20130529,,0,MSFT,63173,3144451
107525,20130529,C,0,MSFT,44515,1973973
107525,20130529,P,0,MSFT,18658,1170478
107525,20130530,,0,MSFT,106643,3148562
107525,20130530,C,0,MSFT,81692,1974854
107525,20130530,P,0,MSFT,24951,1173708
107525,20130531,,0,MSFT,185201,3186811
107525,20130531,C,0,MSFT,77286,2005055
107525,20130531,P,0,MSFT,107915,1181756
107525,20130603,,0,MSFT,187509,3208887
107525,20130603,C,0,MSFT,142086,2013664
107525,20130603,P,0,MSFT,45423,1195223
107525,20130604,,0,MSFT,140095,3268139
107525,20130604,C,0,MSFT,78175,2055414
107525,20130604,P,0,MSFT,61920,1212725
107525,20130605,,0,MSFT,113525,3258876
107525,20130605,C,0,MSFT,65818,2029901
107525,20130605,P,0,MSFT,47707,1228975
107525,20130606,,0,MSFT,90189,3286304
107525,20130606,C,0,MSFT,42163,2040896
107525,20130606,P,0,MSFT,48026,1245408
